parcel_id,irrigation_time,volume_liters,method,notes
1,2023-02-20 07:30:00,410,drip,Post dormancy soil moisture adjustment
1,2023-03-15 07:30:00,510,drip,Budbreak support
1,2023-04-05 07:30:00,660,drip,Early vegetative growth
1,2023-04-20 07:30:00,690,drip,Early vegetative growth
1,2023-05-05 07:30:00,920,drip,Canopy expansion
1,2023-05-20 07:30:00,970,drip,Canopy expansion
1,2023-06-05 06:30:00,1230,drip,Pre flowering irrigation
1,2023-06-15 06:30:00,1330,drip,Pre flowering irrigation
1,2023-06-25 06:30:00,1430,drip,Pre flowering irrigation
1,2023-07-05 06:30:00,1640,drip,Heat stress mitigation
1,2023-07-10 06:30:00,1690,drip,Heat stress mitigation
1,2023-07-15 06:30:00,1740,drip,Heat stress mitigation
1,2023-07-25 06:30:00,1790,drip,Heat stress mitigation
1,2023-08-05 06:30:00,1430,drip,Post veraison water control
1,2023-08-15 06:30:00,1380,drip,Post veraison water control
1,2023-08-25 06:30:00,1330,drip,Post veraison water control
1,2023-09-05 07:00:00,820,drip,Reduced irrigation before harvest
1,2023-09-20 07:00:00,770,drip,Reduced irrigation before harvest
1,2023-10-10 08:00:00,510,drip,Post harvest soil recovery
2,2023-02-20 07:30:00,420,drip,Post dormancy soil moisture adjustment
2,2023-03-15 07:30:00,520,drip,Budbreak support
2,2023-04-05 07:30:00,670,drip,Early vegetative growth
2,2023-04-20 07:30:00,700,drip,Early vegetative growth
2,2023-05-05 07:30:00,940,drip,Canopy expansion
2,2023-05-20 07:30:00,990,drip,Canopy expansion
2,2023-06-05 06:30:00,1260,drip,Pre flowering irrigation
2,2023-06-15 06:30:00,1360,drip,Pre flowering irrigation
2,2023-06-25 06:30:00,1460,drip,Pre flowering irrigation
2,2023-07-05 06:30:00,1680,drip,Heat stress mitigation
2,2023-07-10 06:30:00,1730,drip,Heat stress mitigation
2,2023-07-15 06:30:00,1780,drip,Heat stress mitigation
2,2023-07-25 06:30:00,1830,drip,Heat stress mitigation
2,2023-08-05 06:30:00,1460,drip,Post veraison water control
2,2023-08-15 06:30:00,1410,drip,Post veraison water control
2,2023-08-25 06:30:00,1360,drip,Post veraison water control
2,2023-09-05 07:00:00,840,drip,Reduced irrigation before harvest
2,2023-09-20 07:00:00,790,drip,Reduced irrigation before harvest
2,2023-10-10 08:00:00,520,drip,Post harvest soil recovery
3,2023-02-20 07:30:00,430,drip,Post dormancy soil moisture adjustment
3,2023-03-15 07:30:00,530,drip,Budbreak support
3,2023-04-05 07:30:00,680,drip,Early vegetative growth
3,2023-04-20 07:30:00,710,drip,Early vegetative growth
3,2023-05-05 07:30:00,960,drip,Canopy expansion
3,2023-05-20 07:30:00,1010,drip,Canopy expansion
3,2023-06-05 06:30:00,1290,drip,Pre flowering irrigation
3,2023-06-15 06:30:00,1390,drip,Pre flowering irrigation
3,2023-06-25 06:30:00,1490,drip,Pre flowering irrigation
3,2023-07-05 06:30:00,1720,drip,Heat stress mitigation
3,2023-07-10 06:30:00,1770,drip,Heat stress mitigation
3,2023-07-15 06:30:00,1820,drip,Heat stress mitigation
3,2023-07-25 06:30:00,1870,drip,Heat stress mitigation
3,2023-08-05 06:30:00,1490,drip,Post veraison water control
