parcel_id,mean_ndvi,mean_temperature,water_stress_index,stress_level,irrigation_events
1,0.408,22.22,0.438,medium,19
2,0.634,22.22,0.271,low,19
3,0.513,22.22,0.36,medium,19
4,0.525,22.22,0.351,medium,19
5,0.425,22.22,0.426,medium,19
6,0.394,22.22,0.449,medium,19
7,0.369,22.22,0.467,medium,19
8,0.346,22.22,0.484,medium,19
9,0.269,22.22,0.542,medium,19
10,0.243,22.22,0.56,medium,19
11,0.228,22.22,0.572,medium,19
12,0.21,22.22,0.585,medium,19
13,0.187,22.22,0.602,high,19
14,0.172,22.22,0.613,high,19
15,0.161,22.22,0.621,high,19
16,0.136,22.22,0.64,high,19
17,0.146,22.22,0.632,high,19
18,0.134,22.22,0.641,high,19
19,0.131,22.22,0.643,high,19
20,0.123,22.22,0.649,high,19
21,0.136,22.22,0.639,high,19
22,0.132,22.22,0.643,high,19
23,0.138,22.22,0.639,high,19
24,0.153,22.22,0.628,high,19
25,0.123,22.22,0.649,high,19
26,0.139,22.22,0.637,high,19
27,0.133,22.22,0.642,high,19
28,0.177,22.22,0.609,high,19
29,0.178,22.22,0.608,high,19
30,0.166,22.22,0.618,high,19
